epsiode_no,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1,7.319999999999932,0.0,0.0,32.6691469415,0.0,0.0,0.0,0.0,0.0,-0.211849517134,0.0,0.0,0.0,0,0,0,0,12.6387930375
1,7.379999999999931,0.0,0.0,32.726409456,0.0,0.0,0.0,0.0,0.0,2.11939668898,0.0,0.0,0.0,14,14,14,14,12.6049424274
1,7.439999999999929,0.0,0.0,32.8355695673,0.0,0.0,0.0,0.0,0.0,1.52027478269,0.0,0.0,0.0,0,0,0,0,12.4734435395
1,7.499999999999928,0.0,0.0,32.9089622419,0.0,0.0,0.0,0.0,0.0,0.926830474112,0.0,0.0,0.0,0,0,0,0,12.3674821194
1,7.559999999999927,0.0,0.0,32.9468644582,0.0,0.0,0.0,0.0,0.0,0.336951332961,0.0,0.0,0.0,0,0,0,0,12.3061318141
1,7.6199999999999255,0.0,0.0,32.9494281864,0.0,0.0,0.0,0.0,0.0,-0.251421582602,0.0,0.0,0.0,0,0,0,0,12.2884971195
1,7.679999999999924,0.0,0.0,32.9166826994,0.0,0.0,0.0,0.0,0.0,-0.840323568433,0.0,0.0,0.0,0,0,0,0,12.3143040767
1,7.739999999999923,0.0,0.0,32.9362278461,0.0,0.0,0.0,0.0,0.0,1.4919257227,0.0,0.0,0.0,14,14,14,14,12.3276984134
1,7.799999999999922,0.0,0.0,33.0079265318,0.0,0.0,0.0,0.0,0.0,0.898698379535,0.0,0.0,0.0,0,0,0,0,12.2450005583
1,7.85999999999992,0.0,0.0,33.0441447976,0.0,0.0,0.0,0.0,0.0,0.308937258761,0.0,0.0,0.0,0,0,0,0,12.186313864
1,7.919999999999919,0.0,0.0,33.0450287373,0.0,0.0,0.0,0.0,0.0,-0.279414788115,0.0,0.0,0.0,0,0,0,0,12.1708968486
1,7.979999999999918,0.0,0.0,33.0106018132,0.0,0.0,0.0,0.0,0.0,-0.868392619113,0.0,0.0,0.0,0,0,0,0,12.1985071068
1,8.039999999999917,0.0,0.0,33.0284607485,0.0,0.0,0.0,0.0,0.0,1.46384583456,0.0,0.0,0.0,14,14,14,14,12.2138319923
1,8.099999999999916,0.0,0.0,33.0984813907,0.0,0.0,0.0,0.0,0.0,0.870828786871,0.0,0.0,0.0,0,0,0,0,12.1339381003
1,8.159999999999915,0.0,0.0,33.1330312821,0.0,0.0,0.0,0.0,0.0,0.281180028696,0.0,0.0,0.0,0,0,0,0,12.0778024575
1,8.219999999999914,0.0,0.0,33.1322506983,0.0,0.0,0.0,0.0,0.0,-0.307155875951,0.0,0.0,0.0,0,0,0,0,12.0645322822
1,8.279999999999912,0.0,0.0,33.1837979656,0.0,0.0,0.0,0.0,0.0,2.02439190126,0.0,0.0,0.0,14,14,14,14,12.0390970342
1,8.339999999999911,0.0,0.0,33.2872905024,0.0,0.0,0.0,0.0,0.0,1.42630932535,0.0,0.0,0.0,0,0,0,0,11.9202769592
